Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
A1,1,Infinity,-Infinity,Infinity
B1,2,-51,-Infinity,Infinity
A1,1,-51,-Infinity,-51
E1,2,-25,-Infinity,-51
A1,1,-51,-Infinity,-51
A2,2,-15,-Infinity,-51
A1,1,-51,-Infinity,-51
B2,2,-7,-Infinity,-51
A1,1,-51,-Infinity,-51
A3,2,-23,-Infinity,-51
A1,1,-51,-Infinity,-51
B3,2,-43,-Infinity,-51
A1,1,-51,-Infinity,-51
C3,2,-26,-Infinity,-51
A1,1,-51,-Infinity,-51
E3,2,2,-Infinity,-51
A1,1,-51,-Infinity,-51
A4,2,-15,-Infinity,-51
A1,1,-51,-Infinity,-51
B4,2,-7,-Infinity,-51
A1,1,-51,-Infinity,-51
E4,2,3,-Infinity,-51
A1,1,-51,-Infinity,-51
A5,2,-20,-Infinity,-51
A1,1,-51,-Infinity,-51
B5,2,-25,-Infinity,-51
A1,1,-51,-Infinity,-51
C5,2,-18,-Infinity,-51
A1,1,-51,-Infinity,-51
D5,2,-16,-Infinity,-51
A1,1,-51,-Infinity,-51
E5,2,-5,-Infinity,-51
A1,1,-51,-Infinity,-51
root,0,-51,-51,Infinity
B1,1,Infinity,-51,Infinity
A1,2,-19,-51,Infinity
B1,1,-19,-51,-19
E1,2,-29,-51,-19
B1,1,-29,-51,-29
A2,2,-19,-51,-29
B1,1,-29,-51,-29
B2,2,-43,-51,-29
B1,1,-43,-51,-43
A3,2,-27,-51,-43
B1,1,-43,-51,-43
B3,2,-47,-51,-43
B1,1,-47,-51,-47
C3,2,-30,-51,-47
B1,1,-47,-51,-47
E3,2,-2,-51,-47
B1,1,-47,-51,-47
A4,2,-19,-51,-47
B1,1,-47,-51,-47
B4,2,-11,-51,-47
B1,1,-47,-51,-47
E4,2,-1,-51,-47
B1,1,-47,-51,-47
A5,2,-24,-51,-47
B1,1,-47,-51,-47
B5,2,-29,-51,-47
B1,1,-47,-51,-47
C5,2,-22,-51,-47
B1,1,-47,-51,-47
D5,2,-20,-51,-47
B1,1,-47,-51,-47
E5,2,-9,-51,-47
B1,1,-47,-51,-47
root,0,-47,-47,Infinity
E1,1,Infinity,-47,Infinity
A1,2,-5,-47,Infinity
E1,1,-5,-47,-5
B1,2,-1,-47,-5
E1,1,-5,-47,-5
A2,2,-5,-47,-5
E1,1,-5,-47,-5
B2,2,3,-47,-5
E1,1,-5,-47,-5
A3,2,-13,-47,-5
E1,1,-13,-47,-13
B3,2,-33,-47,-13
E1,1,-33,-47,-33
C3,2,-16,-47,-33
E1,1,-33,-47,-33
E3,2,12,-47,-33
E1,1,-33,-47,-33
A4,2,-5,-47,-33
E1,1,-33,-47,-33
B4,2,3,-47,-33
E1,1,-33,-47,-33
E4,2,13,-47,-33
E1,1,-33,-47,-33
A5,2,-10,-47,-33
E1,1,-33,-47,-33
B5,2,-15,-47,-33
E1,1,-33,-47,-33
C5,2,-8,-47,-33
E1,1,-33,-47,-33
D5,2,-6,-47,-33
E1,1,-33,-47,-33
E5,2,5,-47,-33
E1,1,-33,-47,-33
root,0,-33,-33,Infinity
A2,1,Infinity,-33,Infinity
A1,2,-15,-33,Infinity
A2,1,-15,-33,-15
B1,2,-11,-33,-15
A2,1,-15,-33,-15
E1,2,-25,-33,-15
A2,1,-25,-33,-25
B2,2,-47,-33,-25
A2,1,-47,-33,-25
root,0,-33,-33,Infinity
B2,1,Infinity,-33,Infinity
A1,2,-23,-33,Infinity
B2,1,-23,-33,-23
B1,2,-43,-33,-23
B2,1,-43,-33,-23
root,0,-33,-33,Infinity
A3,1,Infinity,-33,Infinity
A1,2,-7,-33,Infinity
A3,1,-7,-33,-7
B1,2,-3,-33,-7
A3,1,-7,-33,-7
E1,2,-17,-33,-7
A3,1,-17,-33,-17
A2,2,-7,-33,-17
A3,1,-17,-33,-17
B2,2,1,-33,-17
A3,1,-17,-33,-17
B3,2,-35,-33,-17
A3,1,-35,-33,-17
root,0,-33,-33,Infinity
B3,1,Infinity,-33,Infinity
A1,2,13,-33,Infinity
B3,1,13,-33,13
B1,2,17,-33,13
B3,1,13,-33,13
E1,2,3,-33,13
B3,1,3,-33,3
A2,2,13,-33,3
B3,1,3,-33,3
B2,2,-75,-33,3
B3,1,-75,-33,3
root,0,-33,-33,Infinity
C3,1,Infinity,-33,Infinity
A1,2,-22,-33,Infinity
C3,1,-22,-33,-22
B1,2,-18,-33,-22
C3,1,-22,-33,-22
E1,2,-32,-33,-22
C3,1,-32,-33,-32
A2,2,-22,-33,-32
C3,1,-32,-33,-32
B2,2,-14,-33,-32
C3,1,-32,-33,-32
A3,2,-30,-33,-32
C3,1,-32,-33,-32
B3,2,-50,-33,-32
C3,1,-50,-33,-32
root,0,-33,-33,Infinity
E3,1,Infinity,-33,Infinity
A1,2,-18,-33,Infinity
E3,1,-18,-33,-18
B1,2,-14,-33,-18
E3,1,-18,-33,-18
E1,2,-44,-33,-18
E3,1,-44,-33,-18
root,0,-33,-33,Infinity
A4,1,Infinity,-33,Infinity
A1,2,-15,-33,Infinity
A4,1,-15,-33,-15
B1,2,-11,-33,-15
A4,1,-15,-33,-15
E1,2,-25,-33,-15
A4,1,-25,-33,-25
A2,2,-15,-33,-25
A4,1,-25,-33,-25
B2,2,-7,-33,-25
A4,1,-25,-33,-25
A3,2,-23,-33,-25
A4,1,-25,-33,-25
B3,2,-43,-33,-25
A4,1,-43,-33,-25
root,0,-33,-33,Infinity
B4,1,Infinity,-33,Infinity
A1,2,-23,-33,Infinity
B4,1,-23,-33,-23
B1,2,-19,-33,-23
B4,1,-23,-33,-23
E1,2,-33,-33,-23
B4,1,-33,-33,-23
root,0,-33,-33,Infinity
E4,1,Infinity,-33,Infinity
A1,2,-33,-33,Infinity
E4,1,-33,-33,Infinity
root,0,-33,-33,Infinity
A5,1,Infinity,-33,Infinity
A1,2,-10,-33,Infinity
A5,1,-10,-33,-10
B1,2,-6,-33,-10
A5,1,-10,-33,-10
E1,2,-20,-33,-10
A5,1,-20,-33,-20
A2,2,-10,-33,-20
A5,1,-20,-33,-20
B2,2,-2,-33,-20
A5,1,-20,-33,-20
A3,2,-18,-33,-20
A5,1,-20,-33,-20
B3,2,-38,-33,-20
A5,1,-38,-33,-20
root,0,-33,-33,Infinity
B5,1,Infinity,-33,Infinity
A1,2,-5,-33,Infinity
B5,1,-5,-33,-5
B1,2,-1,-33,-5
B5,1,-5,-33,-5
E1,2,-15,-33,-5
B5,1,-15,-33,-15
A2,2,-5,-33,-15
B5,1,-15,-33,-15
B2,2,3,-33,-15
B5,1,-15,-33,-15
A3,2,-13,-33,-15
